hood_id,name,geometry
22,North Park,"list(c(-87.71664312, -87.70690608, -87.70420651, -87.70569515, -87.70718427, -87.70874114, -87.71004223, -87.71128172, -87.71187419, -87.71291756, -87.71389274, -87.71545142, -87.71629215, -87.71726125, -87.71835828, -87.72042727, -87.72034753, -87.71612871, -87.71664312, 41.98289709, 41.98308648, 41.97382281, 41.97421835, 41.97456544, 41.97462235, 41.97429045, 41.97361924, 41.97275083, 41.97222381, 41.97203538, 41.97189851, 41.97219357, 41.97263459, 41.97326998, 41.97405582, 41.97560496, 41.9756792, 
41.98289709))"
23,Bohemian National Cemetery,"list(c(-87.72839148, -87.72086287, -87.72078506, -87.71831868, -87.71846524, -87.72833135, -87.72839148, 41.9827659, 41.98277441, 41.97735054, 41.97738578, 41.97564331, 41.97540519, 41.9827659))"
24,Albany Park,"list(c(-87.70367498, -87.70335771, -87.72781957, -87.72807475, -87.72833135, -87.72034799, -87.72049263, -87.71822944, -87.71642192, -87.71506304, -87.71291803, -87.71174347, -87.71102075, -87.70978173, -87.70815619, -87.7064075, -87.70420651, -87.70338491, -87.70139929, -87.70107918, -87.70367498, 41.96849329, 41.96117956, 41.96092379, 41.96823713, 41.97540519, 41.97555654, 41.97400775, 41.97317244, 41.97219427, 41.97179957, 41.97217539, 41.97284697, 41.9737631, 41.97438589, 41.97471601, 41.97436751, 
41.97382281, 41.97159081, 41.96896502, 41.96852744, 41.96849329))"
25,Ravenswood Manor,"list(c(-87.70367545, -87.70108014, -87.69857229, -87.69625782, -87.69542792, -87.69472782, -87.70335819, -87.70367545, 41.96844487, 41.9684306, 41.96614085, 41.96399738, 41.96263691, 41.96127715, 41.96113114, 41.96844487))"
26,Ravenswood Gardens,"list(c(-87.69147553, -87.69122405, -87.69479269, -87.69568212, -87.69799366, -87.69966375, -87.70094989, -87.69147553, 41.968571, 41.96130603, 41.96127751, 41.96317098, 41.96560499, 41.96730905, 41.96847831, 41.968571))"
27,Lincoln Square,"list(c(-87.67889523, -87.69122405, -87.69153992, -87.70114358, -87.70331907, -87.7047061, -87.67946082, -87.67889523, 41.96147854, 41.96130603, 41.96861978, 41.96857622, 41.9716873, 41.97581091, 41.97596044, 41.96147854))"
28,Ravenswood,"list(c(-87.6789601, -87.67939543, -87.66842646, -87.66818907, -87.66758557, -87.66746538, -87.66647826, -87.66591811, -87.6789601, 41.96147891, 41.97600849, 41.9761876, 41.97405559, 41.96969396, 41.96877322, 41.96387669, 41.96159752, 41.96147891))"
29,Sheridan Park,"list(c(-87.6599354, -87.65994752, -87.66585323, -87.66690919, -87.66728233, -87.66746437, -87.6599354, 41.96906826, 41.96175635, 41.96159715, 41.96610669, 41.96765841, 41.96887006, 41.96906826))"
30,Margate Park,"list(c(-87.65505598, -87.65200613, -87.64955309, -87.65487402, -87.65505598, 41.97639993, 41.97638187, 41.96910374, 41.96908688, 41.97639993))"
31,Uptown,"list(c(-87.66842646, -87.65512087, -87.65487504, -87.64955413, -87.64842877, -87.64735232, -87.64677675, -87.65988316, -87.65987052, -87.66746336, -87.6680065, -87.66842646, 41.9761876, 41.97640031, 41.96899004, 41.9690069, 41.96502945, 41.96255341, 41.96177519, 41.96170755, 41.96906788, 41.9689669, 41.97289237, 41.9761876))"
32,Buena Park,"list(c(-87.65637885, -87.64612696, -87.64600865, -87.64595783, -87.64571499, -87.64476538, -87.64477789, -87.65645572, -87.65637885, 41.96178379, 41.96186815, 41.96080212, 41.95949438, 41.95794336, 41.9557586, 41.95459651, 41.95452068, 41.96178379))"
33,Graceland Cemetery,"list(c(-87.66591811, -87.65637936, -87.65645623, -87.66229539, -87.66369715, -87.66459217, -87.66591811, 41.96159752, 41.96173537, 41.95447226, 41.95440969, 41.95683906, 41.9581033, 41.96159752))"
34,Graceland West,"list(c(-87.66922727, -87.66585323, -87.66472141, -87.66369867, -87.66223103, -87.6690432, -87.66922727, 41.96156829, 41.96159715, 41.95815247, 41.9566938, 41.95436089, 41.95430366, 41.96156829))"
35,Southeast Ravenswood,"list(c(-87.67409394, -87.66929264, -87.66917243, -87.67403856, -87.67409394, 41.96149949, 41.96152024, 41.95435283, 41.95428403, 41.96149949))"
36,St. Bens,"list(c(-87.69437484, -87.68866563, -87.68587516, -87.68308518, -87.67886652, -87.67861799, -87.68841499, -87.69075059, -87.69090823, -87.6944116, -87.69439612, -87.69437484, 41.95764341, 41.95765991, 41.95774106, 41.95777371, 41.95794344, 41.95053318, 41.95034651, 41.95031118, 41.95399228, 41.9539634, 41.95551288, 41.95764341))"
37,North Center,"list(c(-87.68835012, -87.67868335, -87.67880165, -87.68366853, -87.68860027, -87.69430997, -87.69474232, -87.69466342, -87.67409444, -87.67372523, -87.68832138, -87.68835012, 41.95034614, 41.95048513, 41.95794307, 41.95782544, 41.95770797, 41.95764305, 41.95982452, 41.96122837, 41.96145107, 41.94692181, 41.94676262, 41.95034614))"
